test_time,start_time,end_time,sub_time,threads_num,users_num,每组爬取数,group_num,完整率
 2020-04-09  23:12:51.052800 ,1586445171,1586445270,99.26117134,46,2025,45,45,0.93
 2020-04-09  23:14:36.900479 ,1586445277,1586445354,76.81745911,46,2025,45,45,0.9
 2020-04-09  23:16:40.997657 ,1586445401,1586445476,74.55426621,46,2025,45,45,0.94
 2020-04-09  23:18:31.600774 ,1586445512,1586445594,82.04324174,46,2025,45,45,0.91
 2020-04-09  21:34:25.943092 ,1586439266,1586439340,74.53881836,51,2000,40,50,0.95
 2020-04-09  21:37:19.743115 ,1586439440,1586439480,40.62184978,51,2000,40,50,0.98
 2020-04-09  21:38:26.758067 ,1586439507,1586439583,76.48046422,51,2000,40,50,0.96
 2020-04-09  21:41:19.271218 ,1586439679,1586439815,136.0973163,51,2000,40,50,1
 2020-04-09  21:44:10.906259 ,1586439851,1586439925,74.57588339,51,2000,40,50,0.99
 2020-04-09  23:20:43.971853 ,1586445644,1586445715,70.88428259,61,2040,34,60,0.94
 2020-04-09  23:23:39.801587 ,1586445820,1586445866,46.09676456,61,2040,34,60,0.98
 2020-04-09  23:24:33.154920 ,1586445873,1586445948,75.06276393,61,2040,34,60,0.91
 2020-04-09  23:27:27.540653 ,1586446048,1586446123,75.84847546,71,2030,29,70,0.97
 2020-04-09  23:29:03.324163 ,1586446143,1586446223,79.41691399,71,2030,29,70,0.9
 2020-04-09  23:30:28.353151 ,1586446228,1586446300,71.23105264,71,2030,29,70,0.99
 2020-04-09  21:53:00.246799 ,1586440380,1586440446,,101,2000,20,100,0.93
 2020-05-29  09:55:37.194099 ,1590717337,1590717398,60.34924626,101,2000,20,100,0.99
 2020-05-28  11:56:08.130247 ,1590638168,1590638234,66.0390718,111,1980,18,110,0.96
 2020-05-29  09:53:42.085300 ,1590717222,1590717269,46.43444085,111,2000,18,110,0.91
 2020-05-28  21:59:11.689567 ,1590674352,1590674406,54.01498604,121,1920,16,120,0.97
 2020-05-29  10:56:32.412872 ,1590720992,1590721106,113.7276456,121,2000,16,120,1
 2020-05-28  22:09:11.617426 ,1590674952,1590675008,56.32340503,131,1950,15,130,0.96
 2020-05-28  22:10:45.327923 ,1590675045,1590675133,87.22925615,151,1950,13,150,0.96
 2020-05-28  22:15:23.828452 ,1590675324,1590675375,51.40256238,151,1950,13,150,0.9
 2020-05-29  10:44:09.001389 ,1590720249,1590720284,34.72006369,151,2000,13,150,0.98
 2020-05-29  09:28:21.957052 ,1590715702,1590715784,82.35421181,161,1920,12,160,0.95
 2020-05-29  09:30:53.793376 ,1590715854,1590715903,49.07924771,161,1920,12,160,0.93
 2020-05-29  09:48:08.808584 ,1590716889,1590716971,81.99572873,161,2000,12,160,0.93
 2020-05-29  10:15:04.409018 ,1590718504,1590718569,64.86126518,161,2000,12,160,0.95
 2020-05-29  09:34:31.305438 ,1590716071,1590716131,60.10218883,171,1870,11,170,0.98
 2020-05-29  10:11:47.804182 ,1590718308,1590718382,74.60462928,171,2000,11,170,0.95
 2020-05-29  10:13:17.824332 ,1590718398,1590718486,88.27293944,171,2000,11,170,0.92
 2020-05-29  10:27:23.032070 ,1590719243,1590719287,43.82512927,181,2000,11,180,0.99
 2020-05-29  10:28:16.400022 ,1590719296,1590719335,38.71538186,181,2000,11,180,0.99
 2020-05-29  10:30:17.011654 ,1590719417,1590719462,45.37344551,191,2000,10,190,0.98
 2020-05-29  10:31:26.176295 ,1590719486,1590719540,53.66947865,191,2000,10,190,0.9
 2020-05-29  10:40:11.372611 ,1590720011,1590720087,76.05746865,191,2000,10,190,0.9
 2020-05-29  10:42:53.903193 ,1590720174,1590720235,60.79061031,191,2000,10,190,0.98
 2020-05-29  09:45:58.489392 ,1590716758,1590716811,52.57041574,201,2000,10,200,1
 2020-05-29  10:07:32.346301 ,1590718052,1590718097,44.25379539,201,2000,10,200,0.99
 2020-05-29  10:09:38.831527 ,1590718179,1590718239,60.38320184,201,2000,10,200,0.99
 2020-05-29  13:17:05.770239 ,1590729426,1590729575,149.5724168,200,2000,8,230,0.79152
 2020-05-29  13:25:02.594287 ,1590729903,1590729972,68.90751719,200,2000,8,230,0.75261
 2020-05-29  13:26:30.307048 ,1590729990,1590730048,57.58154869,200,2000,8,230,0.77515
 2020-05-29  13:33:48.472638 ,1590730428,1590730494,65.27202106,200,2000,8,240,0.879
 2020-05-29  12:37:22.549950 ,1590727043,1590727088,45.24947667,200,2000,8,250,0.79658
 2020-05-29  13:15:31.044647 ,1590729331,1590729370,39.41946554,200,2000,8,250,0.79568
 2020-05-29  13:30:19.125397 ,1590730219,1590730281,61.74591112,200,2000,7,270,0.7605
 2020-05-29  13:41:07.439554 ,1590730867,1590730915,47.46326184,200,2000,9,210,0.9545
 2020-05-29  13:43:01.597671 ,1590730982,1590731047,65.23278499,200,2000,9,210,0.9825
 2020-05-29  13:46:55.275531 ,1590731215,1590731285,70.02569842,200,2000,9,220,0.704
 2020-05-29  15:06:52.414080 ,1590736012,1590736039,26.2897079,6,50,10,5,0.96
 2020-05-29  15:13:27.953609 ,1590736408,1590736416,7.889715672,6,25,5,5,1
 2020-05-29  15:15:05.813612 ,1590736506,1590736513,7.149820566,16,25,5,5,1
 2020-05-29  15:18:49.193366 ,1590736729,1590736730,0.609954357,2,1,1,1,1
 2020-05-29  15:29:12.692661 ,1590737353,1590737354,1.249850512,2,1,1,1,1
 2020-05-29  15:29:51.272334 ,1590737391,1590737418,26.49988937,11,100,10,10,1
 2020-05-29  15:36:10.949433 ,1590737771,1590737780,9.414001465,11,100,10,10,0.97
 2020-06-09  19:55:33.364223 ,1591703733.364223,1591703733.4291444,0.06492137908935547,2,1,1,1,0.0
 2020-06-09  21:23:55.089573 ,1591709035.0895736,1591709035.1035347,0.013961076736450195,2,1,1,1,0.0
 2020-06-11  10:14:15.418404 ,1591841655.4184048,1591841666.530653,11.112248182296753,11,100,10,10,0.0
 2021-01-08  09:57:20.779455 ,1610071040.7794557,1610071040.8192928,0.03983712196350098,2,1,1,1,0.0
